,index,Region/Country/Area,"Population, density and surface area",Year,Series,Value,Footnotes,Source
4685,4686,175,Mayotte,2010,Population density,564.8,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4686,4687,175,Mayotte,2015,Population mid-year estimates (millions),0.25,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4687,4688,175,Mayotte,2015,Population mid-year estimates for males (millions),0.12,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4688,4689,175,Mayotte,2015,Population mid-year estimates for females (millions),0.13,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4689,4690,175,Mayotte,2015,Sex ratio (males per 100 females),92.7,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4690,4691,175,Mayotte,2015,Population aged 0 to 14 years old (percentage),43.9,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4691,4692,175,Mayotte,2015,Population aged 60+ years old (percentage),4.4,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4692,4693,175,Mayotte,2015,Population density,665.5,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4693,4694,175,Mayotte,2022,Population mid-year estimates (millions),0.33,"For statistical purposes, the data for France do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4694,4695,175,Mayotte,2022,Population mid-year estimates for males (millions),0.15,"For statistical purposes, the data for France do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4695,4696,175,Mayotte,2022,Population mid-year estimates for females (millions),0.17,"For statistical purposes, the data for France do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4696,4697,175,Mayotte,2022,Sex ratio (males per 100 females),90,"For statistical purposes, the data for France do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4697,4698,175,Mayotte,2022,Population aged 0 to 14 years old (percentage),44.2,"For statistical purposes, the data for France do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4698,4699,175,Mayotte,2022,Population aged 60+ years old (percentage),4.6,"For statistical purposes, the data for France do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4699,4700,175,Mayotte,2022,Population density,869.6,"For statistical purposes, the data for France do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4700,4701,484,Mexico,2010,Population mid-year estimates (millions),112.53,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4701,4702,484,Mexico,2010,Population mid-year estimates for males (millions),55.09,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4702,4703,484,Mexico,2010,Population mid-year estimates for females (millions),57.45,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4703,4704,484,Mexico,2010,Sex ratio (males per 100 females),95.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4704,4705,484,Mexico,2010,Population aged 0 to 14 years old (percentage),29.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4705,4706,484,Mexico,2010,Population aged 60+ years old (percentage),8.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
